"","words","term.freq","doc.freq"
"166","exclusively",1,1
"167","native",5,1
"168","portion",4,1
"169","ingenious",2,1
"170","kind",19,1
"171","hand",31,1
"172","weaving",1,1
"173","deprived",3,1
"174","advaneed",1,1
"175","immense",3,1
"176","city",20,1
"177","white",8,1
"178","man's",2,1
"179","sever",1,1
"180","chine",2,1
"181","loom",1,1
"182","invented",5,1
"183","position",24,1
"184","polar",2,1
"185","exploration",1,1
"186","foot",12,1
"187","stuck",1,1
"188","pike",1,1
"189","middle",6,1
"190","means",18,1
"191","silk",4,1
"192","wool",2,1
"193","yarn",2,1
"194","cords",1,1
"195","country",59,1
"196","lees",1,1
"197","appreciative",1,1
"198","return",12,1
"199","epeoe",1,1
"200","empty",1,1
"201","purse",2,1
"202","attached",6,1
"203","strips",2,1
"204","fabric",1,1
"205","woven",2,1
"206","pieces",5,1
"207","greeted",1,1
"208","publication",2,1
"209","wmllng",1,1
"210","f«»r",1,1
"211","friends",9,1
"212","obtain",8,1
"213","prepaid",2,1
"214","passage",7,1
"215","tirki",1,1
"216","lowest",3,1
"217","rates",4,1
"218","ufli",1,1
"219","vtlaud",1,1
"220","fiant",1,1
"221","italy:england",1,1
"222","guarantees",1,1
"223","hold",17,1
"224","hiscctive",1,1
"225","alliance",5,1
"226","dares",1,1
"227","united",60,1
"228","k:ns",1,1
"229","egyptian",3,1
"230","greater",10,1
"231","security",6,1
"232","different",14,1
"233","dirtc-armies",1,1
"234","franc",3,1
"235","outrai",1,1
"236","tion",7,1
"237","banker",1,1
"238","eventually",2,1
"239","turning",8,1
"240","secretly",1,1
"241","suppling",1,1
"242","iesia",1,1
"243","hotel",6,1
"244","cmlombe",1,1
"245","ar.ng",1,1
"246","draw",5,1
"247","fall",12,1
"248","employes",1,1
"249","reached",11,1
"250","war",205,1
"251","sword",2,1
"252","c*n",1,1
"253","order",15,1
"254","bank",8,1
"255","keys",1,1
"256","short",13,1
"257","haps",2,1
"258","frac",1,1
"259","ironclads",1,1
"260","note",7,1
"261","thanks",3,1
"262","arabi",1,1
"263","pasha",1,1
"264","dalcigud",1,1
"265","iik",1,1
"266","dog",6,1
"267","bark",1,1
"268","minutes",7,1
"269","trezarr",1,1
"270","ingin",1,1
"271","kennel",1,1
"272","enable",2,1
"273","break",7,1
"274","entered",4,1
"275","hie",12,1
"276","carriage",2,1
"277","uttered",1,1
"278","chain",2,1
"279","holds",6,1
"280","biting",2,1
"281","welcome",4,1
"282","word",10,1
"283","having",20,1
"284","supposed",3,1
"285","carried",12,1
"286","communication",3,1
"287","exiled",2,1
"288","nobility",1,1
"289","plotting",1,1
"290","invade",3,1
"291","tvst",1,1
"292","subjected",1,1
"293","suspicions",1,1
"294","republican",1,1
"295","party",13,1
"296","fifteen",4,1
"297","tavern",1,1
"298","relations",7,1
"299","liberal",2,1
"300","supply",24,1
"301","springer",1,1
"302","whiskey",1,1
"303","be-eight",1,1
"304","shop",2,1
"305","twelve",8,1
"306","wholesale",3,1
"307","lloeneee",1,1
"308","dangerously",1,1
"309","trained",4,1
"310","gen",6,1
"311","work",31,1
"312","body",8,1
"313","poured",2,1
"314","granted",5,1
"315","toronto",3,1
"316","commie",1,1
"317","floods",3,1
"318","causing",3,1
"319","damage",6,1
"320","pint",3,1
"321","barker",1,1
"322","throat",2,1
"323","loners",1,1
"324","factories",8,1
"325","oeneeqnenoe",1,1
"326","sed",1,1
"327","france:england",4,1
"328","cable",1,1
"329","reference",4,1
"330","critical",2,1
"331","relatione",1,1
"332","simply",4,1
"333","repeats",1,1
"334","increased",19,1
"335","emphasis",2,1
"336","story",12,1
"337","current",7,1
"338","herbette",1,1
"339","berlin",37,1
"340","wards",2,1
"341","close",15,1
"342","reported",13,1
"343","bismarck",7,1
"344","ipeting",1,1
"345","friendship",4,1
"346","french",46,1
"347","ministry",3,1
"348","give",30,1
"349","pledge",1,1
"350","renounced",1,1
"351","hankering",1,1
"352","alsace-lorraine",6,1
"353","support",6,1
"354","fiance",1,1
"355","preteusiona",1,1
"356","egypt",9,1
"357","rimes",1,1
"358","correspondent",7,1
"359","com",7,1
"360","menting",1,1
"361","front",30,1
"362","truth",3,1
"363","possible",25,1
"364","chancellor",10,1
"365","looking",7,1
"366","ally",10,1
"367","help",11,1
"368","existing",4,1
"369","crisis",3,1
"370","european",18,1
"371","apply",3,1
"372","her-belle's",1,1
"373","mission",2,1
"374","capital",9,1
"375","meant",3,1
"376","bring",12,1
"377","understanding",3,1
"378","opposition",2,1
"379","england's",2,1
"380","continued",12,1
"381","occupation",12,1
"382","itwienotat",1,1
"383","probable",4,1
"384","accomplish",3,1
"385","ihjrposs",1,1
"386","opinion",8,1
"387","nave",1,1
"388","based",2,1
"389","tone",6,1
"390","semi-official",1,1
"391","press",10,1
"392","favorable",5,1
"393","years",79,1
"394","anglo",1,1
"395","union",7,1
"396","foreign",20,1
"397","policy",14,1
"398","central",6,1
"399","empires",1,1
"400","originally",4,1
"401","formed",8,1
"402","object",5,1
"403","checking",1,1
"404","ambition",2,1
"405","russia",59,1
"406","aggressive",2,1
"407","attitude",7,1
"408","ppwer",1,1
"409","balkan",7,1
"410","peninsula",3,1
"411","concerned",6,1
"412","notwithstanding",3,1
"413","acquieeceuse",1,1
"414","government",58,1
"415","czar",2,1
"416","bulgaria",13,1
"417","known",22,1
"418","pun",2,1
"419","disapproval",1,1
"420","humor",3,1
"421","mediated",1,1
"422","northern",14,1
"423","power",37,1
"424","naturally",3,1
"425","use",33,1
"426","diplomatic",6,1
"427","talents",1,1
"428","prevent",8,1
"429","conjunction",1,1
"430","perilous",1,1
"431","rest",12,1
"432","europe",55,1
"433","lie",29,1
"434","doing",12,1
"435","offending",2,1
"436","sett",1,1
"437","ing",24,1
"438","bar",2,1
"439","operation",4,1
"440","ger",8,1
"441","sentiments",2,1
"442","materially",2,1
"443","changed",4,1
"444","full",12,1
"445","hut",13,1
"446","small",25,1
"447","unfailing",1,1
"448","remedy",1,1
"449","diseases",3,1
"450","peculiar",5,1
"451","charmer",1,1
"452","bible",6,1
"453","ebt",1,1
"454","scarcely",1,1
"455","sex",2,1
"456","druggists",1,1
"457","liable",3,1
"458","fcnguud",1,1
"459","bvvllaud",1,1
"460","hwedrn",1,1
"461","vicar",1,1
"462","wakefield",1,1
"463","fair",10,1
"464","resort",4,1
"465","sharpers",1,1
"466","primrose",1,1
"467","green",6,1
"468","spectacles",1,1
"469","victim",2,1
"470","youth",4,1
"471","played",4,1
"472","ago",32,1
"473","well-dressed",1,1
"474","gentleman",7,1
"475","sauntering",1,1
"476","valuable",7,1
"477","goldheaded",1,1
"478","cane",1,1
"479","topped",1,1
"480","wretched-looking",1,1
"481","dragged",3,1
"482","painfully",1,1
"483","crutches",1,1
"484","piteously",1,1
"485","implored",1,1
"486","moved",4,1
"487","compassion",1,1
"488","generously",1,1
"489","gave",13,1
"490","piece",8,1
"491","silver",8,1
"492","operations",9,1
"493","territory",13,1
"494","polite",2,1
"495","offer",6,1
"496","gentlemen",1,1
"497","glass",6,1
"498","done",20,1
"499","atick-to",1,1
"500","march",14,1
"501","serious",8,1
"502","dif",1,1
"503","italy",31,1
"504","agreee",1,1
"505","place",31,1
"506","acuity",1,1
"507","feared",4,1
"508","half-breeds",1,1
"509","ojo",1,1
"510","troop",2,1
"511","dlepoeel",1,1
"512","uv*liable",1,1
"513","knglaml",1,1
"514","inland",2,1
"515","bi-utkiid",1,1
"516","nml",1,1
"517","stated",8,1
"518","crown",9,1
"519","suffering",8,1
"520","cancer",2,1
"521","tongue",3,1
"522","germany:italy",22,1
"523","consignment",2,1
"524","need",11,1
"525","wheat",18,1
"526","recelv",1,1
"527","expert",6,1
"528","mental",4,1
"529","farm",10,1
"530","greece",13,1
"531","distributed",6,1
"532","quantities",8,1
"533","various",12,1
"534","parte",1,1
"535","dominion",9,1
"536","view",18,1
"537","testing",1,1
"538","adaptability",1,1
"539","climate",3,1
"540","germany:united",9,1
"541","states",70,1
"542","tobacco-blindness",1,1
"543","common",4,1
"544","felt",8,1
"545","estimated",8,1
"546","exports",11,1
"547","affliction",1,1
"548","lioth",1,1
"549","flour",9,1
"550","treatment",7,1
"551","london",37,1
"552","phases",2,1
"553","national",14,1
"554","hate",1,1
"555","bottom",3,1
"556","orop",1,1
"557","equal",12,1
"558","sending",3,1
"559","tickets",2,1
"560","thin",7,1
"561","osce",1,1
"562","badland",1,1
"563","mobilises",1,1
"564","mobilise",2,1
"565","friend",8,1
"566","repaid",1,1
"567","nuikigi",1,1
"568","ticket",1,1
"569","loww»t",1,1
"570","oftive",1,1
"571","ilahlo",1,1
"572","fwnn",1,1
"573","fain",1,1
"574","e'en",1,1
"575","fight",10,1
"576","chancel",1,1
"577","tin",11,1
"578","church",13,1
"579","fluct",1,1
"580","crops",7,1
"581","interrred",1,1
"582","reat",1,1
"583","sir",18,1
"584","pribe",1,1
"585","nearly",20,1
"586","pepperment",1,1
"587","beheaded",1,1
"588","produces",4,1
"589","valued",3,1
"590","utilized",2,1
"591","eog",1,1
"592","chemical",5,1
"593","point",12,1
"594","land",31,1
"595","waterways",1,1
"596","specially",2,1
"597","look",7,1
"598","composed",3,1
"599","thirteen",3,1
"600","elements",3,1
"601","gases",1,1
"602","solids",1,1
"603","con",18,1
"604","cently",1,1
"605","undertaken",3,1
"606","expenditure",3,1
"607","aider",1,1
"608","composition",2,1
"609","development",6,1
"610","average",15,1
"611","weight",11,1
"612","canal",11,1
"613","system",19,1
"614","side",17,1
"615","daily",14,1
"616","papers",6,1
"617","report",8,1
"618","terrible",5,1
"619","portions",2,1
"620","water",19,1
"621","rising",4,1
"622","homeless",1,1
"623","inundated",1,1
"624","districts",4,1
"625","property",4,1
"626","marks",7,1
"627","number",39,1
"628","drowned",2,1
"629","contain",4,1
"630","particle",1,1
"631","demachv",1,1
"632","bankers",1,1
"633","died",12,1
"634","bond",1,1
"635","given",16,1
"636","lxothschilu's",1,1
"637","dice",1,1
"638","promising",4,1
"639","francs",1,1
"640","indemnity",2,1
"641","price",12,1
"642","marching",2,1
"643","army",39,1
"644","money",24,1
"645","paid",12,1
"646","gold",14,1
"647","saw",10,1
"648","signatures",1,1
"649","postponed",3,1
"650","demand",6,1
"651","fui",1,1
"652","spot",5,1
"653","cash",5,1
"654","germany:germany",34,1
"655","workmen",3,1
"656","came",18,1
"657","connecticut",2,1
"658","preconcerted",1,1
"659","arrangement",4,1
"660","obtained",7,1
"661","employ",2,1
"662","ment",7,1
"663","clock",8,1
"664","haven",4,1
"665","ansonia",1,1
"666","bury",1,1
"667","ton",9,1
"668","vyin",1,1
"669","sted",1,1
"670","worked",5,1
"671","steadily",3,1
"672","applied",4,1
"673","diligently",1,1
"674","mastering",1,1
"675","science",11,1
"676","making",22,1
"677","proficient",1,1
"678","handling",3,1
"679","fine",5,1
"680","tools",3,1
"681","necessary",16,1
"682","tney",2,1
"683","pur",2,1
"684","chased",1,1
"685","complicated",1,1
"686","machines",5,1
"687","returning",4,1
"688","began",19,1
"689","manufacture",3,1
"690","clocks",4,1
"691","set",18,1
"692","factory",11,1
"693","black",25,1
"694","region",9,1
"695","amounts",4,1
"696","letters",4,1
"697","received",20,1
"698","proved",9,1
"699","competitor",3,1
"700","concerns",1,1
"701","materials",8,1
"702","labor",14,1
"703","cheaper",2,1
"704","beat",6,1
"705","markets",4,1
"706","pushing",2,1
"707","wares",1,1
"708","exclusion",1,1
"709","periodicals",2,1
"710","wholly",2,1
"711","devoted",5,1
"712","african",8,1
"713","comments",1,1
"714","enterprises",1,1
"715","developing",6,1
"716","space",2,1
"717","journal",3,1
"718","solely",2,1
"719","congo",2,1
"720","state",29,1
"721","circulation",2,1
"722","copies",2,1
"723","l'afrique",1,1
"724","published",10,1
"725","frican",1,1
"726","timtn",1,1
"727","field",12,1
"728","comes",15,1
"729","frika",1,1
"730","pont",1,1
"731","issued",8,1
"732","hamburg",6,1
"733","chit",1,1
"734","fly",5,1
"735","commercial",11,1
"736","interests",9,1
"737","colonies",9,1
"738","surprising",2,1
"739","newspaper",6,1
"740","ventures",1,1
"741","springing",2,1
"742","soil",7,1
"743","copy",1,1
"744","blanket",1,1
"745","sheet",1,1
"746","news",11,1
"747","advertisements",1,1
"748","semi-weekly",1,1
"749","lusty",1,1
"750","mining",4,1
"751","town",13,1
"752","johannis-berg",1,1
"753","transvaal",1,1
"754","existence",4,1
"755","paper",16,1
"756","finally",6,1
"757","start",8,1
"758","presses",2,1
"759","shores",2,1
"760","lak",1,1
"761","reliable",1,1
"762","fewer",4,1
"763","silly",1,1
"764","rumors",6,1
"765","africa",14,1
"766","germany:england",10,1
"767","engage",2,1
"768","deep",3,1
"769","dry",9,1
"770","gullies",1,1
"771","choked",1,1
"772","humson",1,1
"773","wrote",3,1
"774","ear",2,1
"775","lowed",1,1
"776","fishes",1,1
"777","depth",3,1
"778","eiiud",1,1
"779","starch",1,1
"780","boiled",3,1
"781","pressure",4,1
"782","tne",1,1
"783","writingl«,li",1,1
"784","oum",2,1
"785","interfere",1,1
"786","possibility",11,1
"787","narrow",3,1
"788","seemingly",2,1
"789","atmospheres",2,1
"790","reasonable",3,1
"791","p.lnt",1,1
"792","resurrection",1,1
"793","copenhagen",1,1
"794","exhibition",7,1
"795","qnirinal",1,1
"796","decoration",1,1
"797","qualities",3,1
"798","h.tve",1,1
"799","principal",5,1
"800","consuming",1,1
"801","companies",3,1
"802","abroad",10,1
"803","tingham",1,1
"804","belgian",6,1
"805","furnishing",1,1
"806","emperor",29,1
"807","rooms",5,1
"808","cost",16,1
"809","won",5,1
"810","belgutm",1,1
"811","holland",20,1
"812","paler",2,1
"813","gorgeously",2,1
"814","arrayed",3,1
"815","adopt",3,1
"816","speak",3,1
"817","wearing",5,1
"818","jewels",1,1
"819","smokeless",4,1
"820","gunpowder",1,1
"821","armies",16,1
"822","eoglish",1,1
"823","language",4,1
"824","financial",7,1
"825","valleys",2,1
"826","looompleee",1,1
"827","knowledge",8,1
"828","playing",5,1
"829","faust",1,1
"830","afternoon",4,1
"831","enter",7,1
"832","imported",5,1
"833","direct",8,1
"834","prices",1,1
"835","represented",2,1
"836","confer",2,1
"837","journey",2,1
"838","park",3,1
"839","chicago",3,1
"840","datl.e",1,1
"841","dreams",1,1
"842","ready",10,1
"843","uilpwreok",1,1
"844","miraculous",1,1
"845","aaoapa",1,1
"846","bq,mr",1,1
"847","mannheim",1,1
"848","urowa",1,1
"849","roumanie",4,1
"850","eeid",1,1
"851","orlw",1,1
"852","thrilling",2,1
"853","ad.enturea",1,1
"854","prod",1,1
"855","pound",2,1
"856","prepare",2,1
"857","boy",6,1
"858","hla",1,1
"859","orowaa",1,1
"860","jawleh",1,1
"861","dealer",2,1
"862","aaragra",1,1
"863","possat",1,1
"864","south",21,1
"865","paolâo",1,1
"866","ooooannu",1,1
"867","decent",2,1
"868","table",5,1
"869","grand",7,1
"870","duchess",2,1
"871","baden",2,1
"872","likes",1,1
"873","meals",3,1
"874","wines",1,1
"875","coffee",4,1
"876","ales",1,1
"877","prefers",1,1
"878","pale",3,1
"879","ale",2,1
"880","liest",1,1
"881","champagne",1,1
"882","bothers",1,1
"883","hit",6,1
"884","aliout",1,1
"885","hill",1,1
"886","fare",3,1
"887","sandringham",1,1
"888","kitchemnaid",1,1
"889","ordered",7,1
"890","famil",1,1
"891","meal",3,1
"892","pompous",1,1
"893","che",1,1
"894","requested",4,1
"895","books",3,1
"896","increase",17,1
"897","list",16,1
"898","educational",3,1
"899","ixwks",1,1
"900","largest",10,1
"901","masonic",1,1
"902","oks",1,1
"903","smallest",3,1
"904","thy",2,1
"905","cherished",1,1
"906","treasures",1,1
"907","profitless",1,1
"908","anti",2,1
"909","forced",12,1
"910","circumstances",3,1
"911","hatl",1,1
"912","ismes",1,1
"913","taken",24,1
"914","religion",3,1
"915","heavenly",1,1
"916","blessing",1,1
"917","mocked",1,1
"918","mirage",1,1
"919","joys",1,1
"920","merge",1,1
"921","efforts",12,1
"922","î,m",1,1
"923","ooll,ïhîli{ei",1,1
"924","bornage",1,1
"925","stray",1,1
"926","drops",2,1
"927","international",18,1
"928","postage",2,1
"929","stamp",4,1
"930","exposition",5,1
"931","gan",1,1
"932","vienna",7,1
"933","lx?st",1,1
"934","collectors",1,1
"935","tlie",8,1
"936","belgium",44,1
"937","switzer",1,1
"938","und",3,1
"939","orient",2,1
"940","signified",1,1
"941","intention",2,1
"942","exhibits",2,1
"943","gramme",1,1
"944","banquets",1,1
"945","tour",5,1
"946","kahleti",1,1
"947","berge",1,1
"948","austrian",12,1
"949","lias",7,1
"950","placed",8,1
"951","building",12,1
"952","acorn",1,1
"953","plete",1,1
"954","machiner",1,1
"955","manufacturing",2,1
"956","stamps",2,1
"957","strike",11,1
"958","souvenir",2,1
"959","visitor",4,1
"960","wishes",6,1
"961","valu",1,1
"962","l»e",2,1
"963","series",3,1
"964","küritins",1,1
"965","england:germany",18,1
"966","tjlis",1,1
"967","groveyanl",1,1
"968","gone",6,1
"969","heaven",1,1
"970","very_for",1,1
"971","butodear",1,1
"972","skipit",1,1
"973","old",33,1
"974","ten-cent",1,1
"975","i'm",4,1
"976","air",53,1
"977","preserved",3,1
"978","poser",3,1
"979","genuine",1,1
"980","poor",9,1
"981","coin",2,1
"982","scripture",1,1
"983","regarded",7,1
"984","declara",1,1
"985","area",15,1
"986","moltke",3,1
"987","record",6,1
"988","square",10,1
"989","sup",2,1
"990","testimony",2,1
"991","alcohol",3,1
"992","says",33,1
"993","posed",2,1
"994","tlrnt",1,1
"995","uhes",1,1
"996","thinks",5,1
"997","unnecessary",1,1
"998","creasing",1,1
"999","course",14,1
"1000","impossible",9,1
"1001","ets",1,1
"1002","greatest",12,1
"1003","enemies",5,1
"1004","vast",9,1
"1005","exact",2,1
"1006","misuse",1,1
"1007","tent",3,1
"1008","stands",4,1
"1009","manfully",1,1
"1010","eer",1,1
"1011","surveys",1,1
"1012","arc",18,1
"1013","measurements",1,1
"1014","cor",3,1
"1015","light",15,1
"1016","cer",1,1
"1017","reeled",1,1
"1018","estimates",3,1
"1019","wine",4,1
"1020","vary",2,1
"1021","jia",1,1
"1022","apparently",6,1
"1023","canadians",4,1
"1024","satisfied",4,1
"1025","objection",1,1
"1026","l»eer",1,1
"1027","consists",2,1
"1028","popular",7,1
"1029","drink",6,1
"1030","fourteenth",1,1
"1031","earth",9,1
"1032","real",11,1
"1033","times",25,1
"1034","votary",1,1
"1035","consumes",1,1
"1036","especially",8,1
"1037","kingdom",13,1
"1038","hot",3,1
"1039","enormous",9,1
"1040","reason",13,1
"1041","dahomey",1,1
"1042","h.v",1,1
"1043","am-bahmi.xn",1,1
"1044","band",1,1
"1045","tirtivi",1,1
"1046","play",9,1
"1047","avt",1,1
"1048","dinner",3,1
"1049","attempt",9,1
"1050","ziir",1,1
"1051","effect",18,1
"1052","throw",4,1
"1053","intr",1,1
"1054","arms",9,1
"1055","dit",1,1
"1056","tew",1,1
"1057","fix",1,1
"1058","immediate",8,1
"1059","w.i",2,1
"1060","qirtuve",1,1
"1061","countries",49,1
"1062","entire",8,1
"1063","change",6,1
"1064","prospect",4,1
"1065","crop",12,1
"1066","referret",1,1
"1067","subject",9,1
"1068","reports",13,1
"1069","quarters",5,1
"1070","continental",5,1
"1071","unusually",1,1
"1072","owing",4,1
"1073","continuance",2,1
"1074","wet",3,1
"1075","cold",6,1
"1076","weather",7,1
"1077","contrary",2,1
"1078","yield",5,1
"1079","excess",1,1
"1080","deficiency",1,1
"1081","fact",28,1
"1082","turn",16,1
"1083","purely",5,1
"1084","american",41,1
"1085","farmer",6,1
"1086","hay",3,1
"1087","shone",1,1
"1088","avaricious",1,1
"1089","greedy",1,1
"1090","generally",10,1
"1091","reaped",1,1
"1092","garnered",2,1
"1093","results",5,1
"1094","bear",8,1
"1095","predictions",1,1
"1096","certainly",6,1
"1097","prevailed",3,1
"1098","considerable",6,1
"1099","period",14,1
"1100","comparatively",4,1
"1101","harvest",1,1
"1102","enjoyed",1,1
"1103","result",22,1
"1104","tliack",1,1
"1105","raip",1,1
"1106","larger",7,1
"1107","tliird",1,1
"1108","third",10,1
"1109","one-sixth",2,1
"1110","switzerland",15,1
"1111","denmark",17,1
"1112","ordinary",7,1
"1113","eases",2,1
"1114","ired",1,1
"1115","peoples",6,1
"1116","raise",3,1
"1117","needs",5,1
"1118","depend",2,1
"1119","imports",12,1
"1120","fear",13,1
"1121","entertained",2,1
"1122","hungarian",3,1
"1123","minister",19,1
"1124","agriculture",5,1
"1125","reporta",1,1
"1126","able",23,1
"1127","port",6,1
"1128","quantity",4,1
"1129","usually",8,1
"1130","hitheito",1,1
"1131","export",5,1
"1132","double",6,1
"1133","usual",2,1
"1134","altogether",3,1
"1135","confidently",1,1
"1136","expected",8,1
"1137","house-building",1,1
"1138","cursed",1,1
"1139","sister",4,1
"1140","catamaran",1,1
"1141","scolding",1,1
"1142","lior",2,1
"1143","remonstrance",1,1
"1144","expectancy",1,1
"1145","duodecimo",1,1
"1146","apartments",2,1
"1147","open",7,1
"1148","brother",7,1
"1149","imzelmb",1,1
"1150","guard",6,1
"1151","directly",4,1
"1152","save",8,1
"1153","deceived",1,1
"1154","worse",4,1
"1155","surprise",1,1
"1156","correct",5,1
"1157","certain",30,1
"1158","vent",2,1
"1159","ion",10,1
"1160","little",42,1
"1161","lobby",2,1
"1162","feet",8,1
"1163","event",5,1
"1164","oame",2,1
"1165","flew",3,1
"1166","disgust",1,1
"1167","overwhelmed",2,1
"1168","tious",1,1
"1169","wonderful",2,1
"1170","progress",3,1
"1171","ismall",1,1
"1172","lace",1,1
"1173","public",18,1
"1174","running",6,1
"1175","li;is",1,1
"1176","pinched",1,1
"1177","furnished",2,1
"1178","spleu",1,1
"1179","marvellous",2,1
"1180","previous",8,1
"1181","breathed",3,1
"1182","hard",16,1
"1183","teeth",2,1
"1184","campaign",8,1
"1185","future",18,1
"1186","assuredly",1,1
"1187","generation",6,1
"1188","followed",12,1
"1189","jolly",1,1
"1190","article",11,1
"1191","example",7,1
"1192","hettinger",1,1
"1193","fallen",3,1
"1194","asleep",1,1
"1195","disposal",2,1
"1196","armed",7,1
"1197","force",26,1
"1198","dressing-case",1,1
"1199","bedroom",1,1
"1200","weighed",1,1
"1201","celebrated",6,1
"1202","cards",4,1
"1203","habit",2,1
"1204","emoking",1,1
"1205","bed",4,1
"1206","morning",10,1
"1207","ourabie",1,1
"1208","lieutenant",4,1
"1209","winthrop",2,1
"1210","plain",4,1
"1211","terms",5,1
"1212","strate",1,1
"1213","advanced",2,1
"1214","belies",1,1
"1215","swarthy",1,1
"1216","temper",1,1
"1217","lieen",1,1
"1218","deteriorated",2,1
"1219","accordingly",3,1
"1220","gical",1,1
"1221","movements",2,1
"1222","scale",3,1
"1223","canada:united",1,1
"1224","compared",6,1
"1225","issue",6,1
"1226","manifesto",1,1
"1227","calling",4,1
"1228","assist",3,1
"1229","carrying",5,1
"1230","socialist",4,1
"1231","italy:spain",3,1
"1232","divided",5,1
"1233","free",14,1
"1234","portugal",8,1
"1235","amount",11,1
"1236","deduct",1,1
"1237","remainder",4,1
"1238","khedive",1,1
"1239","nominal",1,1
"1240","client",1,1
"1241","life",24,1
"1242","bulldog",1,1
"1243","letter",6,1
"1244","sought",2,1
"1245","breweries",2,1
"1246","interrupted",1,1
"1247","eagerly",1,1
"1248","iron",15,1
"1249","aws",1,1
"1250","unclosed",1,1
"1251","sacred",4,1
"1252","groves",1,1
"1253","dodona",1,1
"1254","streani",1,1
"1255","painted",3,1
"1256","himalayan",1,1
"1257","forests",3,1
"1258","glam",1,1
"1259","ban",1,1
"1260","mighty",1,1
"1261","floor",5,1
"1262","higher",4,1
"1263","despaired",1,1
"1264","account",12,1
"1265","corruptions",1,1
"1266","feebleness",1,1
"1267","antiquated",1,1
"1268","formulas",1,1
"1269","sac",1,1
"1270","red",14,1
"1271","writings",1,1
"1272","flung",1,1
"1273","wind",5,1
"1274","waters",5,1
"1275","filed",1,1
"1276","aylen",1,1
"1277","bul",1,1
"1278","objected",1,1
"1279","judgment",1,1
"1280","ju)n",1,1
"1281","cellars",1,1
"1282","lunk",1,1
"1283","reserved",1,1
"1284","woman",13,1
"1285","courting",1,1
"1286","clerks",1,1
